Date,Close,High,Low,Open,Volume,log_return,realized_vol,log_rv
2014-10-09,365.0260009765625,382.72601318359375,347.68701171875,352.74798583984375,83641104,0.03367050886515816,0.6831358047954524,-0.38106160345846285
2014-10-10,361.56201171875,375.0669860839844,352.9630126953125,364.68701171875,43665700,-0.009535019685869594,0.6438994549729373,-0.440212690885108
2014-10-11,362.29901123046875,367.1910095214844,355.95098876953125,361.36199951171875,13345200,0.0020363018397691725,0.6014568343533914,-0.5084005094785226
2014-10-12,378.54901123046875,379.4330139160156,356.1440124511719,362.6059875488281,17552800,0.04387568380252533,0.6089639101689492,-0.4959962738345541
2014-10-13,390.41400146484375,397.22601318359375,368.8970031738281,377.9209899902344,35221400,0.030862165749712976,0.6146412514146242,-0.4867165124124909
2014-10-14,400.8699951171875,411.697998046875,391.3240051269531,391.6919860839844,38491500,0.02642945473533767,0.6209492175699137,-0.4765059756421727
2014-10-15,394.77301025390625,402.22698974609375,388.7659912109375,400.9549865722656,25267100,-0.015326230901940996,0.5528402177911272,-0.5926862562967338
2014-10-16,382.5559997558594,398.8070068359375,373.07000732421875,394.51800537109375,26990000,-0.031435894996154054,0.554033023112491,-0.5905309855050681
2014-10-17,383.75799560546875,385.4779968261719,375.3890075683594,382.7560119628906,13600700,0.0031370869973757617,0.5483087733111179,-0.6009166957679611
2014-10-18,391.4419860839844,395.1579895019531,378.97100830078125,383.97601318359375,11416800,0.01982518661870101,0.5511485397908789,-0.5957509239623716
2014-10-19,389.5459899902344,393.9389953613281,386.4570007324219,391.2539978027344,5914570,-0.004855387987120306,0.549993530087931,-0.5978487643012999
2014-10-20,382.8450012207031,390.0840148925781,378.25201416015625,389.2309875488281,16419000,-0.017351722052715512,0.5163380834128269,-0.6609935276381989
2014-10-21,386.4750061035156,392.64599609375,380.8340148925781,382.4209899902344,14188900,0.009436987957972875,0.5168079771346121,-0.6600838910008837
2014-10-22,383.1579895019531,388.57598876953125,382.2489929199219,386.1180114746094,11641300,-0.008619789324393464,0.5074504244427939,-0.678356258664773
2014-10-23,358.4169921875,385.0480041503906,356.4469909667969,382.9620056152344,26456900,-0.06675031813644425,0.5546279025600432,-0.5894578359227783
2014-10-24,358.3450012207031,364.3450012207031,353.30499267578125,358.59100341796875,15585700,-0.00020087830465635576,0.5503713647483935,-0.5971620199729682
2014-10-25,347.27099609375,359.8609924316406,342.87701416015625,358.6109924316406,18127500,-0.031390769190214725,0.541914053530763,-0.6126478629379604
